,factor_1,trade_date,close_chg,img_neg,tex_neg,SENT_INDEX_R_EX,opt_profit,trade_year
0,0.03395906,20140102,0.2564625450623969,0.0,0.0,-0.4354121402168714,15.27981348960318,2014
1,0.031097662,20140103,-0.9070443317486188,0.0,0.333333,-0.5026786570510179,15.279488969086566,2014
2,0.0,20140106,-2.4711931865623926,0.285714,0.142857,-0.5631368790102582,15.239176509665336,2014
3,0.030238573,20140107,0.3856183270371627,0.0,0.333333,-0.6175745857014068,15.123971169030566,2014
4,0.0,20140108,0.416474183575577,0.333333,0.0,-0.6669610028652597,15.001799311011965,2014
5,0.028953176,20140109,-1.1437388085582256,0.0,0.333333,-0.7130345586613592,15.05727996536774,2014
6,0.0,20140110,-1.23536781814928,0.333333,0.0,-0.7546641981736156,15.37773319027236,2014
7,0.006977761,20140113,-0.3831112109866197,0.142857,0.285714,-0.7837104488074083,15.919162923581156,2014
8,0.02874735,20140114,1.4710269900524595,0.333333,0.666667,-0.8101863406628209,15.91445563852784,2014
9,0.0,20140115,0.3062194094340054,0.333333,0.0,-0.8346923267903966,15.927747788083124,2014
10,0.022788236,20140116,0.0543363635388649,0.0,0.0,-0.8568581057449192,15.920752999109608,2014
11,0.0,20140117,-1.224405214887225,0.333333,0.333333,-0.8771644925304336,16.000782253082164,2014
12,0.0,20140120,-0.6724202789513134,0.166667,0.0,-0.8566814220201237,16.04123614524033,2014
13,0.0,20140121,1.2916734946559538,0.333333,0.0,-0.8849750702493477,15.77503580450886,2014
14,0.024585353,20140122,2.459806149155863,0.0,0.0,-0.7411934133921116,15.743932447431522,2014
15,0.024565399,20140123,0.1505294848312521,0.0,0.0,-0.7380751810233382,15.689778118060834,2014
16,0.03170616,20140124,0.9897590593610284,0.0,0.333333,-0.604194173173777,15.618864144749304,2014
17,0.0,20140127,-0.7725985956537396,0.428571,0.0,-0.6100820257226938,15.623357274207091,2014
18,0.032532964,20140128,-0.0391579639257178,0.0,0.333333,-0.4912312396369244,15.670479789936223,2014
19,0.033692207,20140129,0.7240065895092407,0.0,0.5,-0.3848158980349025,15.62417414123478,2014
20,0.033863954,20140130,-0.7969331097059107,0.0,0.5,-0.2868384746692072,15.61510588916831,2014
21,0.014552158,20140207,1.1852256339171865,0.1,0.0,-0.3640561297432021,15.793603406389876,2014
22,0.010126802,20140210,2.5727332480022236,0.142857,0.142857,-0.4229636629108809,15.52290195505456,2014
23,0.03426071,20140211,0.420563426833076,0.0,0.0,-0.4291846266850856,15.363551127798065,2014
24,0.0,20140212,0.7227442788342087,0.333333,0.0,-0.4400690136109718,15.62668910903662,2014
25,0.0,20140213,-1.1456923169259725,0.333333,0.0,-0.4889696045626425,15.626511773081686,2014
26,0.0,20140214,1.2895065267986672,0.333333,0.333333,-0.5341666398500718,15.6650251882326,2014
27,0.004365311,20140217,1.390641806502324,0.166667,0.166667,-0.5737246164949497,15.624931954432377,2014
