,trade_date,ts_code,CON_YEAR,CON_OR,CON_NP,CON_EPS,CON_NA,CON_PB,CON_PS,CON_PE,CON_PEG,CON_ROE,CON_OR_YOY,CON_NP_YOY,CON_NPCGRATE_2Y,CON_PEI,trade_year,profit,year_profit,year_pe_ttm,year_profit_l1,year_profit_yoy,code_name,close,pe_ttm_weight,pe_ttm_equal,pb_ttm_weight,pb_ttm_equal,div_rate,roe,profit_avg,mv_avg,float_mv,total_mv,total_mv_l1,total_mv_chg,close_l1,close_chg,img_neg,tex_neg,riskfree_return,opt_profit_yoy,opt_pe,opt_profit,time,close_chg_s,CEFD,RIPO,NIPO,TURN,TURN_MA,trade_month,SR,lnPD,c_yoy,p_yoy,n,l1_TURN,SENT_INDEX,CEFD_R,NIPO_R,RIPO_R,SR_R,l1_TURN_R,lnPD_R,SENT_INDEX_R,SENT_INDEX_EX,SENT_INDEX_DEX,SENT_INDEX_R_EX,SENT_INDEX_R_DEX
117,20140116,000985.SH,2014,3027301540.2678,27574.13906835,0.6883,2031668176.5133,1.2822,0.8605,9.4472,0.5287,13.57,11.98,16.82,17.8703,86.3324,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2798.91,11.62,43.43,1.53,2.56,2.3468,13.22,9.72,112.8,183395.62,25.177256,252120.0,-0.13780739330477854,2797.39,0.05433636353886495,0.0,0.0,0.015503333333333333,126.45264110905103,-40.658291457286424,15.920752999109608,11.0,0.0029524404026276927,-8.641578947368421,0.0,0.0,0.0024,-0.0035678666666666757,201401,24.67,-0.3537,4.07,2.93,978.0,0.0022299999836832285,-0.8462232947349548,-0.006608876399695873,-0.9932002425193787,-0.42909911274909973,15.745779991149902,-0.004373250529170036,-0.20850010216236115,-1.0852278470993042,-0.739642383082602,-0.6037302068007369,-0.8568581057449192,-0.5056008854533978
128,20140117,000985.SH,2014,3031131718.9481,27593.175675010003,0.6887,2031969127.1429,1.2708,0.8519,9.3585,0.5225,13.58,12.05,16.87,17.911,86.392,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2764.64,11.52,43.17,1.52,2.52,2.3676,13.22,9.7,111.75,181668.38,24.964899,251772.56,-0.8434477530037454,2798.91,-1.2244052148872253,0.333333,0.333333,0.01551888888888889,127.12580591615286,-41.21545226130653,16.000782253082164,12.0,1.4991681302430324,-10.111052631578946,0.434881,1.0,0.00223,-0.003719633333333342,201401,24.67,-0.3537,4.07,2.93,979.0,0.002400000113993883,-0.3715417683124542,-1.4760825634002686,0.006799757014960051,0.0057819015346467495,15.745779991149902,-0.004203250631690025,-0.20850010216236115,-0.6468077301979065,-0.7475227378607026,-0.6056582068755489,-0.8771644925304336,-0.5131336605435963
139,20140120,000985.SH,2014,3031818470.8996,27602.798466610002,0.6891,2031948458.0075,1.2613,0.8453,9.2849,0.5178,13.58,12.08,16.99,17.9316,86.421,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2746.05,11.43,42.88,1.51,2.52,2.3861,13.22,9.69,110.76,180373.62,24.777317,249648.99,-0.7513829717476384,2764.64,-0.6724202789513134,0.166667,0.0,0.015525833333333332,128.74140145319717,-41.677763819095475,16.04123614524033,13.0,0.4521490315449621,-10.111052631578946,0.0,0.0,0.00199,-0.004074466666666674,201401,24.67,-0.3537,4.07,2.93,980.0,0.0022299999836832285,-0.9218378663063049,-1.4760825634002686,-0.9932002425193787,-0.42909911274909973,15.745779991149902,-0.004373250529170036,-0.20850010216236115,-1.1748775243759155,-0.7197235439532725,-0.6078115462001407,-0.8566814220201237,-0.521164148380456
150,20140121,000985.SH,2014,3031705414.4271,27539.477231840003,0.6877,2031651020.6929,1.2744,0.854,9.4014,0.5283,13.56,12.01,16.61,17.7962,86.2296,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2781.52,11.56,43.97,1.52,2.56,2.3592,13.21,9.67,111.78,182573.61,25.061763,247773.17,1.1480096896689718,2746.05,1.2916734946559538,0.333333,0.0,0.015530555555555556,123.62534891922338,-40.94597989949748,15.77503580450886,14.0,1.6684204167967245,-10.111052631578946,0.420795,6.0,0.00199,-0.003936908333333341,201401,24.67,-0.3537,4.07,2.93,981.0,0.001990000018849969,1.0615311861038208,-1.4760825634002686,5.006799697875977,-0.00830409862101078,15.745779991149902,-0.004613250494003296,-0.20850010216236115,0.7320225834846497,-0.7346674259410011,-0.6079661049855976,-0.8849750702493477,-0.5264717229301269
161,20140122,000985.SH,2014,3030648120.6494,27532.07865763,0.6873,2031819648.428,1.302,0.8729,9.6082,0.5404,13.55,12.03,16.61,17.7804,86.2068,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2849.94,11.82,45.09,1.56,2.62,2.3054,13.21,9.66,114.2,186715.8,25.626195000000003,250617.63,2.252163983834654,2781.52,2.459806149155863,0.0,0.0,0.015534444444444443,123.62534891922338,-39.64698492462311,15.743932447431522,15.0,6.0506462914249965,-10.111052631578946,0.34058,1.0,0.00326,-0.0026393250000000075,201401,24.67,-0.3537,4.07,2.93,982.0,0.001990000018849969,-0.4354163706302643,-1.4760825634002686,0.006799757014960051,-0.08851909637451172,15.745779991149902,-0.004613250494003296,-0.20850010216236115,-0.7061251401901245,-0.6018605086853577,-0.6079185242516364,-0.7411934133921116,-0.5316538986114855
172,20140123,000985.SH,2014,3031334070.5216,27519.19693481,0.6868,2031508645.8083,1.301,0.8719,9.604,0.541,13.55,12.05,16.66,17.7528,86.1662,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2854.23,11.81,45.33,1.55,2.66,2.3061,13.2,9.66,113.97,186500.78,25.598765,256261.95,-0.10703891077080696,2849.94,0.15052948483125217,0.0,0.0,0.015535,124.29851372632521,-39.67336683417086,15.689778118060834,16.0,0.022659125803562177,-10.111052631578946,0.452197125,6.0,0.00278,-0.0031026416666666726,201401,24.67,-0.3537,4.07,2.93,983.0,0.0032599999103695154,1.1053144931793213,-1.4760825634002686,5.006799697875977,0.02309802733361721,15.745779991149902,-0.0033432506024837494,-0.20850010216236115,0.7675777673721313,-0.5895540005285537,-0.6059677106347875,-0.7380751810233382,-0.5342641193481633
183,20140124,000985.SH,2014,3034330339.4279,27502.32858543,0.6866,2031202820.4018,1.3112,0.8777,9.684,0.5466,13.54,12.14,16.66,17.7167,86.1133,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2882.48,11.9,45.88,1.57,2.69,2.286,13.2,9.65,114.79,188060.66,25.804714,255987.65,0.8045270933968895,2854.23,0.9897590593610284,0.0,0.333333,0.015540555555555556,124.29851372632521,-39.17085427135679,15.618864144749303,17.0,0.9796229955872277,-10.628947368421054,0.439623,1.0,0.00307,-0.0027996583333333384,201401,24.67,-0.3537,4.07,2.93,984.0,0.0027799999807029963,-0.3878409266471863,-1.9939773082733154,0.006799757014960051,0.0105239013209939,15.745779991149902,-0.0038232505321502686,-0.20850010216236115,-0.67041015625,-0.4642392061101278,-0.6039021601074264,-0.604194173173777,-0.5368920603550916
194,20140127,000985.SH,2014,3031928953.0585,27503.397368830003,0.6863,2031443126.3243,1.3001,0.8711,9.603,0.542,13.54,12.29,17.01,17.719,86.1163,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2860.21,11.8,45.33,1.55,2.67,2.3047,13.2,9.66,113.89,186641.48,25.601414000000002,258047.14,-0.7878405472736438,2882.48,-0.7725985956537396,0.428571,0.0,0.0155525,129.01066737603796,-39.67964824120603,15.623357274207091,18.0,0.5969085900061306,-10.628947368421054,0.4402425,6.0,0.00293,-0.002929666666666671,201401,24.67,-0.3537,4.07,2.93,985.0,0.0030700000934302807,1.0678263902664185,-1.9939773082733154,5.006799697875977,0.011143401265144348,15.745779991149902,-0.003533250419422984,-0.20850010216236115,0.7265380024909973,-0.45859048780521955,-0.6001119431268429,-0.6100820257226938,-0.5372114770079413
205,20140128,000985.SH,2014,3031355302.9248,27514.60642992,0.6863,2030971658.2563,1.3019,0.8723,9.6101,0.5416,13.55,12.34,17.36,17.743,86.1502,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2859.09,11.81,45.23,1.55,2.67,2.3035,13.2,9.66,114.0,186902.47,25.638832999999998,256014.14,0.14615989569950472,2860.21,-0.0391579639257178,0.0,0.333333,0.015555000000000001,133.72282102575065,-39.63505025125629,15.670479789936223,19.0,0.0015333461388078165,-10.628947368421054,0.40672955555555557,6.0,0.00239,-0.003459333333333339,201401,24.67,-0.3537,4.07,2.93,986.0,0.0029299999587237835,1.0452396869659424,-1.9939773082733154,5.006799697875977,-0.022369543090462685,15.745779991149902,-0.0036732505541294813,-0.20850010216236115,0.7055372595787048,-0.34573062995637105,-0.594739551977833,-0.4912312396369244,-0.5354410632160975
216,20140129,000985.SH,2014,3033610891.6894,27503.59167748,0.6859,2030402569.2824,1.3115,0.8778,9.6819,0.5464,13.55,12.31,17.56,17.7194,86.1161,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2879.79,11.89,45.6,1.56,2.68,2.2881,13.2,9.66,114.85,188206.36,25.806094,256388.33,0.6523736864310514,2859.09,0.7240065895092407,0.0,0.5,0.015555555555555555,136.41548025415787,-39.18404522613065,15.624174141234779,20.0,0.5241855416528022,-10.628947368421054,0.44024328571428567,6.0,0.00244,-0.0033960416666666726,201401,24.67,-0.3537,4.07,2.93,987.0,0.0023900000378489494,1.0543205738067627,-1.9939773082733154,5.006799697875977,0.011144187301397324,15.745779991149902,-0.004213250707834959,-0.20850010216236115,0.7170580625534058,-0.24288538859731132,-0.5878846543816206,-0.38481589803490257,-0.5317314997593512
